STATE_UT_NAME,AC_NO,AC_NAME,CANDIDATE_NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL_VOTES,POSTAL_VOTES,TOTAL_VOTES,VOTES_POLLED_PCT,TOTAL_ELECTORS
Tamil Nadu,1,Gummidipoondi,GOVINDARAJAN T.J,MALE,60.0,GENERAL,DMK,Rising Sun,125001,1451,126452,56.94,281688
Tamil Nadu,1,Gummidipoondi,PRAKASH M,MALE,50.0,GENERAL,PMK,Mango,75004,510,75514,34.0,281688
Tamil Nadu,1,Gummidipoondi,USHA,FEMALE,31.0,SC,NTK,Ganna Kisan,11643,58,11701,5.27,281688
Tamil Nadu,1,Gummidipoondi,DILLIY K.M,MALE,45.0,GENERAL,DMDK,Nagara,2553,23,2576,1.16,281688
Tamil Nadu,1,Gummidipoondi,NOTA,,,,NOTA,NOTA,1775,8,1783,0.8,281688
Tamil Nadu,1,Gummidipoondi,NAGARAJ S,MALE,28.0,SC,BSP,Elephant,1031,7,1038,0.47,281688
Tamil Nadu,1,Gummidipoondi,SARAVANAN V,MALE,33.0,GENERAL,IJK,Auto- Rickshaw,813,3,816,0.37,281688
Tamil Nadu,1,Gummidipoondi,SARAVANAN E,MALE,44.0,GENERAL,IND,DIAMOND,526,6,532,0.24,281688
Tamil Nadu,1,Gummidipoondi,DEVANATHAN R,MALE,26.0,SC,IND,Whistle,482,0,482,0.22,281688
Tamil Nadu,1,Gummidipoondi,LAKSHMI R,FEMALE,52.0,GENERAL,IND,COCONUT FARM,369,5,374,0.17,281688
Tamil Nadu,1,Gummidipoondi,PRAKASH K,MALE,49.0,GENERAL,IND,Cauliflower,349,2,351,0.16,281688
Tamil Nadu,1,Gummidipoondi,GOWTHAM J,MALE,26.0,GENERAL,AMAK,Gas Cylinder,254,0,254,0.11,281688
Tamil Nadu,1,Gummidipoondi,PRAKASH M,MALE,52.0,GENERAL,IND,Grapes,196,0,196,0.09,281688
Tamil Nadu,2,Ponneri,DURAI. CHANDRASEKAR,MALE,48.0,SC,INC,Hand,93669,859,94528,44.94,267368
Tamil Nadu,2,Ponneri,BALARAMAN. P,MALE,59.0,SC,ADMK,Two Leaves,84534,305,84839,40.33,267368
Tamil Nadu,2,Ponneri,MAHESWARI. A,FEMALE,35.0,SC,NTK,Ganna Kisan,18973,54,19027,9.05,267368
Tamil Nadu,2,Ponneri,DESINGURAJAN. D,MALE,52.0,SC,MNM,Battery torch,5372,22,5394,2.56,267368
Tamil Nadu,2,Ponneri,PON. RAJA,MALE,45.0,SC,AMMKMNKZ,Pressure Cooker,2813,19,2832,1.35,267368
Tamil Nadu,2,Ponneri,NOTA,,,,NOTA,NOTA,1551,3,1554,0.74,267368
Tamil Nadu,2,Ponneri,BHAVANI ILAVENIL. J,FEMALE,31.0,SC,BSP,Elephant,1102,4,1106,0.53,267368
Tamil Nadu,2,Ponneri,ASHOK PRIYADARSHAN. S,MALE,42.0,SC,IND,Football,470,0,470,0.22,267368
Tamil Nadu,2,Ponneri,SUGUMAR. K,MALE,40.0,SC,IND,BELT,298,0,298,0.14,267368
Tamil Nadu,2,Ponneri,VIJAYAKUMAR. V,MALE,41.0,SC,AMGRDMK,Pan,189,1,190,0.09,267368
Tamil Nadu,2,Ponneri,SAMBATH KUMAR.C.H,MALE,50.0,SC,IND,Almirah,116,0,116,0.06,267368
Tamil Nadu,3,Tiruttani,S.Chandran,MALE,57.0,GENERAL,DMK,Rising Sun,118005,2309,120314,51.72,291336
Tamil Nadu,3,Tiruttani,G.Hari,MALE,60.0,GENERAL,ADMK,Two Leaves,89704,1357,91061,39.15,291336
Tamil Nadu,3,Tiruttani,L.AKILA,FEMALE,31.0,GENERAL,NTK,Ganna Kisan,11900,107,12007,5.16,291336
Tamil Nadu,3,Tiruttani,D.Krishnamoorthi,MALE,58.0,GENERAL,DMDK,Nagara,3903,25,3928,1.69,291336
Tamil Nadu,3,Tiruttani,NOTA,,,,NOTA,NOTA,1653,12,1665,0.72,291336
Tamil Nadu,3,Tiruttani,D.PAULRAJ,MALE,33.0,SC,IND,Coat,889,3,892,0.38,291336
Tamil Nadu,3,Tiruttani,V.P.Vijayan,MALE,25.0,GENERAL,IND,Whistle,761,8,769,0.33,291336
Tamil Nadu,3,Tiruttani,N.MAGENDIRAN,MALE,38.0,SC,BSP,Elephant,711,6,717,0.31,291336
Tamil Nadu,3,Tiruttani,M.Hari,MALE,39.0,GENERAL,IND,Peas,365,1,366,0.16,291336
Tamil Nadu,3,Tiruttani,M.D.Thanigai Malai,MALE,49.0,GENERAL,IJK,Auto- Rickshaw,352,1,353,0.15,291336
Tamil Nadu,3,Tiruttani,A.J.Suresh,MALE,35.0,GENERAL,IND,Telephone,174,8,182,0.08,291336
Tamil Nadu,3,Tiruttani,S.Shettu,MALE,47.0,SC,IND,Tennis Racket & Ball,143,0,143,0.06,291336
Tamil Nadu,3,Tiruttani,S.Manikkam,MALE,36.0,SC,AIJYMKG,Mixee,121,0,121,0.05,291336
Tamil Nadu,3,Tiruttani,K.Chandran,MALE,50.0,GENERAL,IND,Fountain,59,1,60,0.03,291336
Tamil Nadu,3,Tiruttani,T.Chandran,MALE,45.0,SC,IND,Dish Antenna,46,0,46,0.02,291336
Tamil Nadu,4,Thiruvallur,"RAAJENDRAN, V.G.",MALE,53.0,GENERAL,DMK,Rising Sun,106316,1393,107709,50.27,274982
Tamil Nadu,4,Thiruvallur,"RAMANAH, BE VEE",MALE,53.0,GENERAL,ADMK,Two Leaves,84508,500,85008,39.68,274982
Tamil Nadu,4,Thiruvallur,"PASUPATHY, P.",MALE,50.0,GENERAL,NTK,Ganna Kisan,14943,85,15028,7.01,274982
Tamil Nadu,4,Thiruvallur,"DOSS, D.",MALE,50.0,SC,BSP,Elephant,2314,15,2329,1.09,274982
Tamil Nadu,4,Thiruvallur,NOTA,,,,NOTA,NOTA,1857,15,1872,0.87,274982
Tamil Nadu,4,Thiruvallur,"GURU, N.",MALE,42.0,GENERAL,AMMKMNKZ,Pressure Cooker,1072,5,1077,0.5,274982
